Subject,Grade,Category,Girls score,Boys score
1,Grade 2/3,Reading,26,23.2
2,Grade 2/3,Numeracy,12.4,12.7
3,Age 7 to 14,Reading,52.4,45.1
4,Age 7 to 14,Numeracy,29,26.7
5,Grade 2/3,Reading,84.5,77.3
6,Grade 2/3,Numeracy,65.7,66.1
7,Age 7 to 14,Reading,85,80.2
8,Age 7 to 14,Numeracy,72.8,72.2
9,Grade 2/3,Reading,1.8,1.8
10,Grade 2/3,Numeracy,0.1,0.7
11,Age 7 to 14,Reading,4.6,4.8
12,Age 7 to 14,Numeracy,1.2,1.8
13,Grade 2/3,Reading,1.2,3.7
14,Grade 2/3,Numeracy,3.6,6.9
15,Age 7 to 14,Reading,3.9,4.9
16,Age 7 to 14,Numeracy,6,7.7
17,Grade 2/3,Reading,7.1,9.2
18,Grade 2/3,Numeracy,0.6,0.8
19,Age 7 to 14,Reading,8.5,8.9
20,Age 7 to 14,Numeracy,0.5,0.5
21,Grade 2/3,Reading,6.3,3.8
22,Grade 2/3,Numeracy,4,3.4
23,Age 7 to 14,Reading,13.5,11.1
24,Age 7 to 14,Numeracy,10.1,6.8
25,Grade 2/3,Reading,5.6,6
26,Grade 2/3,Numeracy,4.8,10.7
27,Age 7 to 14,Reading,22.4,20.4
28,Age 7 to 14,Numeracy,14,17.3
29,Grade 2/3,Reading,5.6,6.1
30,Grade 2/3,Numeracy,2,7.4
31,Age 7 to 14,Reading,12.7,12.1
32,Age 7 to 14,Numeracy,7,8.1
33,Grade 2/3,Reading,35,24
34,Grade 2/3,Numeracy,12,12
35,Age 7 to 14,Reading,41,30
36,Age 7 to 14,Numeracy,24,19
37,Grade 2/3,Reading,28,25
38,Grade 2/3,Numeracy,23,28
39,Age 7 to 14,Reading,41,41
40,Age 7 to 14,Numeracy,39,46
41,Grade 2/3,Reading,42,35
42,Grade 2/3,Numeracy,34,26
43,Age 7 to 14,Reading,60,56
44,Age 7 to 14,Numeracy,53.5,49.3
45,Grade 2/3,Reading,18,8
46,Grade 2/3,Numeracy,2,0
47,Age 7 to 14,Reading,53,34
